sample,run,condition,type,accession
npc_rna_rep1,1,NPC,rna,SRR8314922
npc_rna_rep1,2,NPC,rna,SRR8314923
npc_rna_rep1,3,NPC,rna,SRR8314924
npc_rna_rep2,1,NPC,rna,SRR8314952
npc_rna_rep2,2,NPC,rna,SRR8314953
npc_rna_rep2,3,NPC,rna,SRR8314954
npc_trap_rep1,1,NPC,trap,SRR8314925
npc_trap_rep1,2,NPC,trap,SRR8314926
npc_trap_rep1,3,NPC,trap,SRR8314927
npc_trap_rep2,1,NPC,trap,SRR8314955
npc_trap_rep2,2,NPC,trap,SRR8314956
npc_trap_rep2,3,NPC,trap,SRR8314957
neuron_rna_rep1,1,Neuron,rna,SRR8314934
neuron_rna_rep1,2,Neuron,rna,SRR8314935
neuron_rna_rep1,3,Neuron,rna,SRR8314936
neuron_rna_rep2,1,Neuron,rna,SRR8314962
neuron_rna_rep2,2,Neuron,rna,SRR8314963
neuron_rna_rep2,3,Neuron,rna,SRR8314964
neuron_rna_rep3,1,Neuron,rna,SRR8314982
neuron_rna_rep3,2,Neuron,rna,SRR8314983
neuron_rna_rep3,3,Neuron,rna,SRR8314984
neuron_trap_rep1,1,Neuron,trap,SRR8314937
neuron_trap_rep1,2,Neuron,trap,SRR8314938
neuron_trap_rep1,3,Neuron,trap,SRR8314939
neuron_trap_rep2,1,Neuron,trap,SRR8314965
neuron_trap_rep2,2,Neuron,trap,SRR8314966
neuron_trap_rep2,3,Neuron,trap,SRR8314967
neuron_trap_rep3,1,Neuron,trap,SRR8314985
neuron_trap_rep3,2,Neuron,trap,SRR8314986
neuron_trap_rep3,3,Neuron,trap,SRR8314987